station,year,day,hour,filename
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C15_G18_s20230551741174_e20230551743553_c20230551744012.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C15_G18_s20230551746174_e20230551748553_c20230551749006.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C15_G18_s20230551751174_e20230551753553_c20230551754010.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C15_G18_s20230551756174_e20230551758553_c20230551759005.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C16_G18_s20230551701174_e20230551703558_c20230551703598.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C16_G18_s20230551706174_e20230551708558_c20230551708590.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C16_G18_s20230551711174_e20230551713558_c20230551713588.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C16_G18_s20230551716174_e20230551718558_c20230551719000.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C16_G18_s20230551721174_e20230551723558_c20230551723594.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C16_G18_s20230551726174_e20230551728559_c20230551728587.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C16_G18_s20230551731174_e20230551733558_c20230551733595.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C16_G18_s20230551736174_e20230551738559_c20230551738593.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C16_G18_s20230551741174_e20230551743558_c20230551744003.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C16_G18_s20230551746174_e20230551748558_c20230551748599.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C16_G18_s20230551751174_e20230551753559_c20230551753595.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C16_G18_s20230551756174_e20230551758559_c20230551759001.nc
